email,label
"Please verify your account immediately by clicking the security link.",1
"Your account has been suspended. Confirm your password now.",1
"Congratulations! You have won a reward. Claim it immediately.",1
"Urgent action required. Verify your account information.",1
"Your bank account requires immediate security verification.",1
"Click the link below to prevent your account from being locked.",1
"Your password will expire today. Verify your credentials.",1
"You have received a security alert. Confirm your identity.",1
"Update your payment information immediately to avoid suspension.",1
"Your account was selected for a special reward. Claim now.",1
"Security verification is required for your account.",1
"Your mailbox will be disabled unless you verify your account.",1
"Urgent: confirm your login details to restore access.",1
"Your account has unusual activity. Verify your information.",1
"Click here to confirm your account and continue using the service.",1
"Your payment failed. Enter your card information to retry.",1
"Important security notice. Confirm your credentials immediately.",1
"Your account needs verification before access can continue.",1
"Claim your reward by verifying your account information.",1
"Immediate action required to prevent account suspension.",1
"Verify your identity using the attached security link.",1
"Your online account has been restricted. Confirm your details.",1
"Unusual login detected. Verify your account now.",1
"Your subscription will be cancelled unless payment details are updated.",1
"Confirm your account information immediately to avoid service interruption.",1
"The team meeting is scheduled for tomorrow at 10 AM.",0
"Please review the meeting notes attached to this message.",0
"Can we reschedule our project discussion to Friday?",0
"Please send me the latest project documentation.",0
"The assignment submission deadline is next Monday.",0
"Thank you for sharing the project presentation.",0
"Our team meeting will begin at 2 PM today.",0
"Please find the monthly report attached.",0
"Can you review the code before tomorrow?",0
"The database backup was completed successfully.",0
"Please attend the training session this afternoon.",0
"The project files have been uploaded to the shared folder.",0
"Let's discuss the software requirements in our next meeting.",0
"Your leave request has been approved.",0
"Please submit your attendance report.",0
"The server maintenance is scheduled for Saturday.",0
"Thank you for completing the security training.",0
"Please review the minutes from yesterday's meeting.",0
"The development team has completed the testing phase.",0
"Can you send the updated employee list?",0
"Your project presentation has been scheduled.",0
"Please check the latest version of the application.",0
"The team will discuss the project status tomorrow.",0
"Please confirm your availability for the meeting.",0
"The report has been successfully submitted.",0
